padding_block,payload_bytes,pcap_bytes,alpha
0,100,3065,30.65
0,500,3465,6.93
0,1000,3965,3.965
0,5000,7965,1.593
0,10000,12965,1.2965
0,50000,53229,1.06458
0,100000,103493,1.03493
0,1000000,1005759,1.005759
256,100,4445,44.45
256,500,4701,9.402
256,1000,5213,5.213
256,5000,9309,1.8618
256,10000,14429,1.4429
256,50000,54629,1.09258
256,100000,104813,1.04813
256,1000000,1007241,1.007241
1024,100,9631,96.31
1024,500,9631,19.262
1024,1000,9631,9.631
1024,5000,13727,2.7454
1024,10000,18847,1.8847
1024,50000,59047,1.18094
1024,100000,109487,1.09487
1024,1000000,1014423,1.014423
4096,100,34405,344.05
4096,500,34405,68.81
4096,1000,34405,34.405
4096,5000,38501,7.7002
4096,10000,42597,4.2597
4096,50000,83821,1.67642
4096,100000,133237,1.33237
4096,1000000,1039197,1.039197
16384,100,132709,1327.09
16384,500,132709,265.418
16384,1000,132709,132.709
16384,5000,132709,26.5418
16384,10000,132709,13.2709
16384,50000,182125,3.6425
16384,100000,231541,2.31541
16384,1000000,1134927,1.134927
