rotation_interval,rotation_bytes,payload_bytes,E,alpha,alpha_baseline,inflation,h_init_avg,h_resum_avg
10K,10000,100,1,76.2300,76.2300,1.000,7447,5625
10K,10000,500,1,16.0460,16.0460,1.000,7447,5625
10K,10000,1000,1,8.5230,8.5230,1.000,7447,5625
10K,10000,5000,1,2.5046,2.5046,1.000,7447,5625
10K,10000,10000,1,1.7523,1.7523,1.000,7447,5625
10K,10000,50000,5,1.6050,1.1550,1.390,7447,5625
10K,10000,100000,10,1.5860,1.0798,1.469,7447,5625
10K,10000,500000,50,1.5709,1.0196,1.541,7447,5625
10K,10000,1000000,100,1.5690,1.0122,1.550,7447,5625
10K,10000,5000000,500,1.5675,1.0061,1.558,7447,5625
100K,100000,100,1,76.2300,76.2300,1.000,7447,5625
100K,100000,500,1,16.0460,16.0460,1.000,7447,5625
100K,100000,1000,1,8.5230,8.5230,1.000,7447,5625
100K,100000,5000,1,2.5046,2.5046,1.000,7447,5625
100K,100000,10000,1,1.7523,1.7523,1.000,7447,5625
100K,100000,50000,1,1.1550,1.1550,1.000,7447,5625
100K,100000,100000,1,1.0798,1.0798,1.000,7447,5625
100K,100000,500000,5,1.0646,1.0196,1.044,7447,5625
100K,100000,1000000,10,1.0628,1.0122,1.050,7447,5625
100K,100000,5000000,50,1.0613,1.0061,1.055,7447,5625
1M,1000000,100,1,76.2300,76.2300,1.000,7447,5625
1M,1000000,500,1,16.0460,16.0460,1.000,7447,5625
1M,1000000,1000,1,8.5230,8.5230,1.000,7447,5625
1M,1000000,5000,1,2.5046,2.5046,1.000,7447,5625
1M,1000000,10000,1,1.7523,1.7523,1.000,7447,5625
1M,1000000,50000,1,1.1550,1.1550,1.000,7447,5625
1M,1000000,100000,1,1.0798,1.0798,1.000,7447,5625
1M,1000000,500000,1,1.0196,1.0196,1.000,7447,5625
1M,1000000,1000000,1,1.0122,1.0122,1.000,7447,5625
1M,1000000,5000000,5,1.0106,1.0061,1.004,7447,5625
None,0,100,1,76.2300,76.2300,1.000,7447,5625
None,0,500,1,16.0460,16.0460,1.000,7447,5625
None,0,1000,1,8.5230,8.5230,1.000,7447,5625
None,0,5000,1,2.5046,2.5046,1.000,7447,5625
None,0,10000,1,1.7523,1.7523,1.000,7447,5625
None,0,50000,1,1.1550,1.1550,1.000,7447,5625
None,0,100000,1,1.0798,1.0798,1.000,7447,5625
None,0,500000,1,1.0196,1.0196,1.000,7447,5625
None,0,1000000,1,1.0122,1.0122,1.000,7447,5625
None,0,5000000,1,1.0061,1.0061,1.000,7447,5625
