rotation_interval,rotation_bytes,payload_bytes,E_expected,E_measured,pcap_bytes
10K,10000,10000,1,1,12934
10K,10000,50000,5,5,60086
10K,10000,100000,10,10,119026
10K,10000,500000,50,50,590546
10K,10000,1000000,100,100,1179946
100K,100000,10000,1,1,103462
100K,100000,50000,1,1,103462
100K,100000,100000,1,1,103462
100K,100000,500000,5,5,512726
100K,100000,1000000,10,10,1024306
1M,1000000,10000,1,1,1008170
1M,1000000,50000,1,1,1005728
1M,1000000,100000,1,1,1005728
1M,1000000,500000,1,1,1005728
1M,1000000,1000000,1,1,1005794
