rekey_limit,rekey_limit_bytes,payload_bytes,pcap_bytes,alpha,newkeys_count,E
64K,65536,1000,8464,8.464,1,1
64K,65536,10000,17472,1.7472,1,1
64K,65536,100000,110824,1.10824,2,2
64K,65536,1000000,1032136,1.032136,8,8
64K,65536,5000000,5133182,1.0266364,37,37
256K,262144,1000,8464,8.464,1,1
256K,262144,10000,17472,1.7472,1,1
256K,262144,100000,107806,1.07806,1,1
256K,262144,1000000,1020226,1.020226,4,4
256K,262144,5000000,5071322,1.0142644,16,16
1M,1048576,1000,8464,8.464,1,1
1M,1048576,10000,17472,1.7472,1,1
1M,1048576,100000,107872,1.07872,1,1
1M,1048576,1000000,1011274,1.011274,1,1
1M,1048576,5000000,5038784,1.0077568,5,5
10M,10485760,1000,8464,8.464,1,1
10M,10485760,10000,17472,1.7472,1,1
10M,10485760,100000,107872,1.07872,1,1
10M,10485760,1000000,1011340,1.01134,1,1
10M,10485760,5000000,5026844,1.0053688,1,1
0,0,1000,8464,8.464,1,1
0,0,10000,17472,1.7472,1,1
0,0,100000,107872,1.07872,1,1
0,0,1000000,1011274,1.011274,1,1
0,0,5000000,5026640,1.005328,1,1
